Date,TVL,,,
09/06/2024,1104811308.6527414,,,
10/06/2024,1117549228.260642,,,
11/06/2024,1098399523.289905,,,
12/06/2024,1047417514.2844598,,,
13/06/2024,1072352497.9271535,,,
14/06/2024,1048684305.4001335,,,
15/06/2024,1052794779.9938948,,,
16/06/2024,1072113496.1984084,,,
17/06/2024,1082813956.4138908,,,
18/06/2024,1064212395.2466941,,,
19/06/2024,1049921009.4199839,,,
20/06/2024,1077961174.1348174,,,
21/06/2024,1067955314.88697,,,
22/06/2024,1070296658.4711611,,,
23/06/2024,1063596680.8873807,,,
24/06/2024,1040956952.7768941,,,
25/06/2024,1014932794.3684967,,,
26/06/2024,1038124878.5081311,,,
