Date,Open,High,Low,Close,Adj Close,Volume
2024-02-24,2941.986572,3008.665283,2939.731201,3007.493408,3007.493408,9014301
2024-02-25,3007.493408,3121.868896,3007.340576,3121.782715,3121.782715,780277
2024-02-26,3121.782715,3208.155518,3067.530762,3200.045166,3200.045166,2706576
2024-02-27,3200.045166,3286.816162,3187.438965,3274.431641,3274.431641,10566242
2024-02-28,3274.431641,3387.546387,3259.661133,3341.271240,3341.271240,14662814
2024-02-29,3341.271240,3484.333252,3336.981689,3348.557861,3348.557861,4530721
2024-03-01,3348.557861,3454.617920,3347.656006,3442.957764,3442.957764,6452269
2024-03-02,3442.957764,3459.620850,3419.063232,3426.003174,3426.003174,3329861
2024-03-03,3426.003174,3483.373535,3404.981934,3483.373535,3483.373535,5501969
2024-03-04,3483.373535,3574.432861,3467.627686,3574.432861,3574.432861,7457954
2024-03-05,3574.432861,3714.836670,3574.095215,3635.490234,3635.490234,3829007
2024-03-06,3635.490234,3798.025879,3510.676514,3769.107422,3769.107422,2686648
2024-03-07,3769.107422,3852.250732,3748.076172,3824.627686,3824.627686,1210500
2024-03-08,3824.627686,3950.142090,3824.627686,3872.398438,3872.398438,5152209
2024-03-09,3872.398438,3903.241699,3865.577393,3865.577393,3865.577393,672401
2024-03-10,3865.577393,3907.297363,3839.124268,3839.124268,3839.124268,799684
2024-03-11,3839.124268,4028.632324,3785.828613,4020.448730,4020.448730,1787215
2024-03-12,4020.448730,4031.117920,3885.429443,3928.242920,3928.242920,2204956
2024-03-13,3928.242920,4028.466553,3928.242920,3964.266602,3964.266602,4161819
2024-03-14,3964.266602,3964.282959,3749.913086,3843.167236,3843.167236,5005517
2024-03-15,3843.167236,3863.118164,3602.217529,3679.144043,3679.144043,5581653
2024-03-16,3679.144043,3716.249023,3465.348145,3497.142578,3497.142578,2514002
2024-03-17,3497.142578,3625.241699,3413.911133,3625.224609,3625.224609,2622548
2024-03-18,3605.306396,3605.306396,3450.565674,3489.689697,3489.689697,4722364
2024-03-19,3489.689697,3505.544189,3166.626953,3167.284912,3167.284912,5754127
2024-03-20,3167.284912,3521.895020,3095.108398,3517.854492,3517.854492,4841373
2024-03-21,3517.854492,3586.552002,3464.661865,3500.963623,3500.963623,10277064
2024-03-22,3500.963623,3550.640625,3315.989258,3339.664063,3339.664063,5087855
2024-03-23,3339.664063,3438.819336,3316.651611,3398.229248,3398.229248,6106206
2024-03-24,3398.229248,3417.921631,3334.361084,3406.712646,3406.712646,17691438
2024-03-25,3406.712646,3624.713867,3400.306885,3600.572998,3600.572998,9015607
2024-03-26,3600.572998,3682.591797,3589.838623,3613.808594,3613.808594,18593362
2024-03-27,3613.808594,3640.666016,3512.352051,3521.750000,3521.750000,4870935
2024-03-28,3521.750000,3633.114990,3508.168945,3598.785645,3598.785645,8684993
2024-03-29,3598.785645,3608.297607,3476.644531,3523.683350,3523.683350,32844539
2024-03-30,3523.683350,3566.934570,3507.182617,3530.827881,3530.827881,18522912
2024-03-31,3530.827881,3669.670410,3530.827881,3667.603516,3667.603516,13310834
2024-04-01,3667.603516,3667.934326,3457.258545,3536.222168,3536.222168,19141937
2024-04-02,3536.222168,3536.224854,3261.896973,3303.971436,3303.971436,3326914
2024-04-03,3303.971436,3379.695068,3259.422852,3345.008057,3345.008057,4101755
2024-04-04,3345.008057,3448.295410,3288.477051,3355.777100,3355.777100,1562905
2024-04-05,3355.777100,3366.081055,3269.841797,3352.929688,3352.929688,6836046
2024-04-06,3352.929688,3419.750732,3343.288086,3391.140625,3391.140625,8192113
2024-04-07,3391.140625,3478.247803,3376.880127,3477.591064,3477.591064,6537180
2024-04-08,3477.591064,3755.030762,3443.795654,3734.815674,3734.815674,26567499
2024-04-09,3734.815674,3747.470215,3504.789063,3533.305420,3533.305420,18142226
2024-04-10,3533.305420,3573.617676,3463.595947,3566.036377,3566.036377,5565244
2024-04-11,3566.036377,3641.085693,3530.228516,3536.312744,3536.312744,7987879
2024-04-12,3536.312744,3579.334229,3244.152344,3259.769043,3259.769043,9731715
2024-04-13,3259.769043,3323.929932,2920.545410,3065.018799,3065.018799,6889106
2024-04-14,3065.018799,3168.069580,2938.706787,3168.069092,3168.069092,8371977
2024-04-15,3168.069092,3266.307373,3068.998535,3121.297607,3121.297607,24492384
2024-04-16,3121.297607,3136.025146,3050.669922,3117.274414,3117.274414,14805258
2024-04-17,3117.274414,3140.006348,2969.732178,3014.421631,3014.421631,20305362
2024-04-18,3014.421631,3103.191162,2990.673096,3078.103516,3078.103516,2765879
2024-04-19,3078.103516,3144.561035,2934.590820,3095.936035,3095.936035,10964942
2024-04-20,3095.936035,3186.444336,3059.679443,3179.063965,3179.063965,2463332
2024-04-21,3179.063965,3215.030029,3158.469727,3176.131348,3176.131348,4224977
2024-04-22,3176.131348,3253.103271,3163.387451,3226.861328,3226.861328,8652822
2024-04-23,3226.861328,3270.881104,3183.948242,3242.923096,3242.923096,11741808
2024-04-24,3242.923096,3282.354248,3103.028320,3122.511963,3122.511963,35979208
2024-04-25,3122.511963,3149.867676,3049.008545,3122.702637,3122.702637,35173074
2024-04-26,3122.702637,3131.740967,3078.317627,3095.510010,3095.510010,25581489
2024-04-27,3095.510010,3227.316895,3053.461670,3218.855713,3218.855713,11660585
2024-04-28,3218.855713,3330.845459,3218.855713,3251.618896,3251.618896,10027437
2024-04-29,3251.618896,3278.538574,3127.412842,3193.048096,3193.048096,29502364
2024-04-30,3193.048096,3214.219727,2915.175781,3003.800537,3003.800537,14765421
2024-05-01,3003.800537,3003.800537,2805.730469,2965.421143,2965.421143,18711575
